name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,doornumber
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,two
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,two
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26,two
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,four
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,four
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,two
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,four
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,four
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,four
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22,two
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,two
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,four
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28,two
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28,four
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25,four
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22,four
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22,two
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20,four
